feature,outlier_mean,normal_mean,diff_pct
futures_returns,0.0009272618965086501,-0.00022802368426797228,-506.6515719564186
iv_spread,-4.528856406964938,-2.7356087501445763,65.55205150318332
pcr_vol,1.576291665287727,1.111406122915662,41.82859287768585
spot_returns,-4.3802259993397374e-05,-7.068482442320409e-05,-38.03159256484172
pcr_oi,1.237055738144373,0.904609792220252,36.75020420773623
call_gamma,0.0011658181821917499,0.0009413507250778208,23.84525247966134
put_theta,-15.061702321109326,-12.364061505032327,21.818403402304547
oi,9027659.0,7567011.162790698,19.3028370883309
call_theta,-11.706622240669596,-14.480598349592546,-19.156501975631443
put_gamma,0.0007148481620790001,0.0008532221011327349,-16.21780997820263
gamma_exposure,13098356.027769249,11467994.181254433,14.216626035438724
call_atm_oi,343227.5,312104.79069767444,9.971878109513895
futures_basis,0.0045744400262195,0.004871260607511805,-6.093301204919908
avg_iv,16.93680509590406,15.97559332942081,6.016751595154039
volume_spot,46735.0,48917.3023255814,-4.461207429339695
put_atm_oi,275543.0,282109.06976744183,-2.3274933247820107
put_rho,-2.0312587685139323,-1.9937420842890288,1.8817220402047146
delta_neutral_ratio,1.0905974156289713,1.111500677578828,-1.8806342066646509
put_delta,-0.48223765673454444,-0.47474704801676937,1.5778104885679
call_delta,0.5257385043261829,0.5271038520111797,-0.25902821233184525
close_fut,21591.260465378244,21609.141135542282,-0.08274586228061132
put_vega,11.861463540788847,11.851858405774701,0.08104328186595752
call_rho,2.139311874325191,2.137773873968949,0.07194401498539997
high_spot,21496.32268733048,21508.631619641255,-0.057227872644087595
open_spot,21492.774763227415,21504.51614372508,-0.054599603260965024
close_spot,21492.981580117044,21504.377800602073,-0.05299488592834125
low_spot,21489.295326419386,21500.165593814014,-0.05055899382354406
ema_5,21495.441370765744,21505.7258450208,-0.04782202809228249
ema_15,21497.33578231322,21506.201473863115,-0.0412238840069863
call_vega,11.844598414179426,11.847472607727088,-0.024259972087102604
